important nonlinear data::important nonlinear data
deletion involves::deletion involves
single path::single path
path downward::path downward
deletion figure::deletion figure
treemap class::treemap class
standard map::standard map
positional operations::positional operations
operations including::operations including
find position::find position
class takes::class takes
takes advantage::takes advantage
multiple inheritance::multiple inheritance
positional binary::positional binary
mapbase class::mapbase class
key-value composite::key-value composite
composite item::composite item
concrete behaviors::concrete behaviors
collections.mutablemapping abstract::collections.mutablemapping abstract
specific p.key::specific p.key
syntax inherited::syntax inherited
nonpublic utilities::nonpublic utilities
subtree search::subtree search
nearest key::nearest key
key greater::key greater
search utility::search utility
public find::public find
deleting items::deleting items
robust searches::robust searches
structural modifications::structural modifications
inherited methods::inherited methods
methods remain::methods remain
presumed methods::presumed methods
methods named::methods named
named rebalance::named rebalance
rebalance insert::rebalance insert
rebalance delete::rebalance delete
rebalance access::rebalance access
methods serve::methods serve
balancing search::balancing search
code code::code code
class including::class including
redefined position::redefined position
nonpublic search::nonpublic search
search utilities::search utilities
utilities code::utilities code
positional methods::positional methods
accessor code::accessor code
selected methods::selected methods
find min::find min
related methods::related methods
brevity code::brevity code
current tree::current tree
maximum path::maximum path
path length::path length
operations getitem::operations getitem
similar paths::similar paths
inorder predecessor::inorder predecessor
successive calls::successive calls
iter require::iter require
similar argument::similar argument
worst-case bound::worst-case bound
current height::current height
items stored::items stored
efficient implementation::efficient implementation
yields logarithmic-time::yields logarithmic-time
logarithmic-time performance::logarithmic-time performance
ordered list::ordered list
list implementation::list implementation
worst-case configuration::worst-case configuration
configuration arises::configuration arises
insert items::insert items
decreasing order::decreasing order
order figure::order figure
linear height::linear height
inserting entries::inserting entries
keys generated::keys generated
random series::random series
expected height::expected height
careful mathematical::careful mathematical
mathematical language::mathematical language
sophisticated probability::sophisticated probability
probability theory::probability theory
random nature::random nature
worst-case height::worst-case height
balanced search::balanced search
standard binary::standard binary
basic map::basic map
unbalanced tree::unbalanced tree
tree algorithms::tree algorithms
stronger performance::stronger performance
performance guarantees::performance guarantees
avl trees::avl trees
splay trees::splay trees
red-black trees::red-black trees
occasional operations::occasional operations
primary operation::primary operation
rotation operation::rotation operation
left formation::left formation
right formation::right formation
left note::left note
represents items::represents items
first configuration::first configuration
single rotation::single rotation
rotation modifies::rotation modifies
tree-balancing algorithm::tree-balancing algorithm
tree configurations::tree configurations
rightward rotation::rightward rotation
first formation::first formation
broader rebalancing::broader rebalancing
compound operation::compound operation
trinode restructuring::trinode restructuring
subtrees pseudo-code::subtrees pseudo-code
orientations mapping::orientations mapping
restructuring replaces::restructuring replaces
node identified::node identified
previous children::previous children
inorder relationships::inorder relationships
algorithm restructure::algorithm restructure
double rotation::double rotation
involving positions::involving positions
restructuring operation::restructuring operation
case analysis::case analysis
rotation arises::rotation arises
relevant keys::relevant keys
schematic illustration::schematic illustration
python framework::python framework
concrete map::concrete map
map implementation::map implementation
explicit balancing::explicit balancing
balancing operations::balancing operations
advanced tree-balancing::advanced tree-balancing
tree-balancing algorithms::tree-balancing algorithms
rebalancing operations::rebalancing operations
strategic calls::strategic calls
rebalancing algorithms::rebalancing algorithms
public delitem::public delitem
splay tree::splay tree
accessed items::accessed items
trivial declarations::trivial declarations
pass statement::pass statement
nontrivial action::nontrivial action
method design::method design
def rebalance::def rebalance
additional code::additional code
providing stubs::providing stubs
rebalancing hooks::rebalancing hooks
utility methods::utility methods
methods rotate::methods rotate
public treemap::public treemap
treemap operations::treemap operations
promote code::promote code
balanced-tree subclasses::balanced-tree subclasses
additional relink::additional relink
relink utility::relink utility
links parent::links parent
child nodes::child nodes
special case::special case
rotate method::rotate method
rotated node::rotated node
original grandparent::original grandparent
middle subtree::middle subtree
rotated nodes::rotated nodes
creating tree::creating tree
tree nodes::tree nodes
draw attention::draw attention
important subtlety::important subtlety
original linkedbinarytree::original linkedbinarytree
linkedbinarytree subclass::linkedbinarytree subclass
low-level definition::low-level definition
nested node::nested node
tree-balancing strategies::tree-balancing strategies
strategies require::strategies require
auxiliary information::auxiliary information
balancing process::balancing process
provide storage::provide storage
additional field::additional field
linkedbinarytree node::linkedbinarytree node
inheritance structure::inheritance structure
node relies::node relies
defined node::defined node
factory method::factory method
class chapter::class chapter
trees code::trees code
tree subclasses::tree subclasses
efficient map::efficient map
map data::map data
worst-case performance::worst-case performance
operations results::operations results
simple balancing::simple balancing
balancing strategy::balancing strategy
worst-case logarithmic::worst-case logarithmic
logarithmic running::logarithmic running
fundamental map::fundamental map
operations definition::operations definition
avl tree::avl tree
simple correction::simple correction
logarithmic height::logarithmic height
longest path::longest path
null child::null child
height-balance property::height-balance property
nodes height-balance::nodes height-balance
adel son-vel::adel son-vel
son-vel skii::son-vel skii
shown inside::shown inside
empty subtrees::empty subtrees
proposition proposition::proposition proposition
inverse problem::inverse problem
lower bound::lower bound
minimum number::minimum number
easy step::easy step
reader familiar::reader familiar
fibonacci progressions::fibonacci progressions
function exponential::function exponential
increasing function::increasing function
grows exponentially::grows exponentially
operation getitem::operation getitem
map implemented::map implemented
absolute value::absolute value
property characterizing::property characterizing
characterizing avl::characterizing avl
deletion operations::deletion operations
trees begin::trees begin
change insertion::change insertion
insertion suppose::insertion suppose
occurred chapter::occurred chapter
trees figure::trees figure
storing keys::storing keys
restructuring restores::restructuring restores
simple search-and-repair::simple search-and-repair
search-and-repair strategy::search-and-repair strategy
higher height::higher height
restructuring method::restructuring method
avl insertion::avl insertion
avl height-balance::avl height-balance
nearest ancestor::nearest ancestor
equal heights::equal heights
height changed::height changed
equal-height subtrees::equal-height subtrees
tallest child::tallest child
heightbalance property::heightbalance property
property globally::property globally
globally figure::globally figure
typical insertion::typical insertion
restoring balance::restoring balance
restructuring notice::restructuring notice
insertion chapter::insertion chapter
deletion recall::deletion recall
regular binary::regular binary
structural removal::structural removal
removed node::removed node
unbalanced node::unbalanced node
rotation restores::rotation restores
restore balance::restore balance
unbalanced position::unbalanced position
larger height::larger height
taller child::taller child
restructured subtree::restructured subtree
middle position::middle position
position denoted::position denoted
unbalanced positions::unbalanced positions
restructure operation::restructure operation
trinode restructurings::trinode restructurings
property performance::property performance
times bounded::times bounded
maintaining balance::maintaining balance
balance factors::balance factors
traditional map::traditional map
operations run::operations run
general structure::general structure
multiway search::multiway search
trees recall::trees recall
trees map::trees map
map items::map items
key definition::key definition
internal d-node::internal d-node
,cd stores::,cd stores
ordered set::ordered set
key-value pairs::key-value pairs
special fictitious::special fictitious
fictitious keys::fictitious keys
simple viewpoint::simple viewpoint
d-node stores::d-node stores
regular keys::regular keys
actual nodes::actual nodes
interesting relationship::interesting relationship
n-item multiway::n-item multiway
trees searching::trees searching
multiway tree::multiway tree
successfully completed::successfully completed
unsuccessfully data::unsuccessfully data
representing multiway::representing multiway
linked data::linked data
operation needed::operation needed
smallest key::smallest key
map serves::map serves
secondary data::secondary data
primary data::primary data
structure represented::structure represented
entire multiway::entire multiway
circular argument::circular argument
ordered map::ordered map
circular dependence::circular dependence
bootstrapping technique::bootstrapping technique
simple solution::simple solution
advanced solution::advanced solution
natural choice::natural choice
secondary structure::secondary structure
structure map::structure map
dmax denote::dmax denote
hlog dmax::hlog dmax
primary efficiency::primary efficiency
efficiency goal::efficiency goal
caps dmax::caps dmax
-tree operations::-tree operations
structures stored::structures stored
primary multiway::primary multiway
tree balanced::tree balanced
structure achieves::structure achieves
simple properties::simple properties
size property::size property
children depth::children depth
depth property::depth property
methods assuming::methods assuming
real nodes::real nodes
strictly needed::strictly needed
needed enforcing::needed enforcing
tree simple::tree simple
secondary map::secondary map
map stored::map stored
unordered list::unordered list
ordered array::ordered array
-time performance::-time performance
important bound::important bound
claim note::claim note
rearranged proposition::rearranged proposition
depth properties::depth properties
proposition implies::proposition implies
tree takes::tree takes
specific realization::specific realization
secondary structures::secondary structures
crucial design::crucial design
design choice::design choice
children dmax::children dmax
constant maintaining::constant maintaining
properties requires::properties requires
performing insertions::performing insertions
insertion method::insertion method
method preserves::method preserves
split operation::split operation
insert key::insert key
w__ children::w__ children
overflow occurs::overflow occurs
cascading split::cascading split
initial tree::initial tree
original search::original search
single split::single split
split operations::split operations
insertion process::insertion process
nodes suppose::nodes suppose
internal-node children::internal-node children
external-node children::external-node children
rightmost internal::rightmost internal
last item::last item
externalnode children::externalnode children
external child::external child
external children::external children
transfer operation::transfer operation
fusion operation::fusion operation
turn triggers::turn triggers
fusion operations::fusion operations
underflow propagates::underflow propagates
simply deleted::simply deleted
propagating sequence::propagating sequence
tree performance::tree performance
asymptotic performance::asymptotic performance
logarithmic bounds::logarithmic bounds
complexity analysis::complexity analysis
keyvalue pairs::keyvalue pairs
operation takes::operation takes
entry visits::entry visits
trees provide::trees provide
fast map::fast map
map search::map search
nice properties::nice properties
restructure operations::restructure operations
fusing operations::fusing operations
red-black tree::red-black tree
stay balanced::stay balanced
nodes colored::nodes colored
root property::root property
black red::black red
red property::red property
red node::red node
black depth::black depth
black ancestors::black ancestors
red nodes::red nodes
nodes drawn::nodes drawn
common black::common black
interesting correspondence::interesting correspondence
trivial external::trivial external
black node::black node
tree contributes::tree contributes
black parents::black parents
first child::first child
black parent::black parent
construction proposition::construction proposition
trees justification::trees justification
trivial leaves::trivial leaves
tree operations::tree operations
important intuition::important intuition
perform updates::perform updates
update algorithms::update algorithms
intuition split::intuition split
fuse operations::fuse operations
recoloring neighboring::recoloring neighboring
change orientations::change orientations
null subtree::null subtree
action corresponds::action corresponds
insertion preserves::insertion preserves
red note::red note
trees case::trees case
double red::double red
red denotes::red denotes
operation restructure::operation restructure
temporarily relabel::temporarily relabel
left-to-right order::left-to-right order
inorder tree::inorder tree
traversal replace::traversal replace
make nodes::make nodes
keeping inorder::keeping inorder
relationships unchanged::relationships unchanged
restructuring eliminates::restructuring eliminates
double-red problem::double-red problem
problem notice::problem notice
restructured part::restructured part
unaffected figure::unaffected figure
affected part::affected part
problem reappears::problem reappears
red parent::red parent
performing recolorings::performing recolorings
final recoloring::final recoloring
recolorings caused::recolorings caused
insertion operations::insertion operations
root remains::root remains
process results::process results
remaining child::remaining child
structural change::structural change
black depths::black depths
red violations::red violations
tree remains::tree remains
valid red-black::valid red-black
case denotes::case denotes
red leaf::red leaf
black height::black height
node represents::node represents
black part::black part
redblack properties::redblack properties
promoted child::promoted child
complex case::complex case
black leaf::black leaf
change results::change results
path leading::path leading
deleted item::deleted item
general setting::general setting
removed black::removed black
general case::general case
node exists::node exists
theavy tlight::theavy tlight
black heights::black heights
gray color::gray color
deficit case::deficit case
red child::red child
result includes::result includes
additional black::additional black
black nodes::black nodes
subtrees illustrated::subtrees illustrated
remains unchanged::remains unchanged
unchanged resolving::unchanged resolving
case corresponds::case corresponds
child assures::child assures
item stored::item stored
black deficit::black deficit
left figures::left figures
figures denotes::figures denotes
restructured portion::restructured portion
colored black::colored black
red violation::red violation
recoloring resolves::recoloring resolves
tlight includes::tlight includes
repeat consideration::repeat consideration
remedy figure::remedy figure
recoloring operation::recoloring operation
entire subtree::entire subtree
cascading remedy::cascading remedy
black root::black root
original theavy::original theavy
red figure::red figure
deficit remains::deficit remains
dashed edge::dashed edge
black deficiency::black deficiency
avl performance::avl performance
primary advantage::primary advantage
deletion requires::deletion requires
restructuring operations::restructuring operations
logarithmic number::logarithmic number
tree requires::tree requires
recoloring operations::recoloring operations
cascade upward::cascade upward
single map::single map
operation proposition::operation proposition
restructuring justification::restructuring justification
insertion begins::insertion begins
downward search::downward search
leaf node::leaf node
potential upward::potential upward
upward effort::upward effort
double-red violation::double-red violation
upward cascading::upward cascading
single application::single application
action eliminates::action eliminates
tree insertion::tree insertion
insertion proposition::insertion proposition
items takes::items takes
operations justification::operations justification
deletion begins::deletion begins
tree deletion::tree deletion
deletion algorithm::deletion algorithm
subsequent rebalancing::subsequent rebalancing
rebalancing takes::rebalancing takes
takes place::takes place
upward path::upward path
deleted node::deleted node
resulting black::resulting black
application case::application case
terminal application::terminal application
redblacktreemap class::redblacktreemap class
standard treemap::standard treemap
balancing framework::balancing framework
framework described::framework described
additional boolean::additional boolean
boolean field::boolean field
current color::current color
inserting items::inserting items
additional utility::additional utility
utility functions::utility functions
insert hook::insert hook
analysis described::analysis described
additional challenge::additional challenge
rebalance hook::rebalance hook
analysis depends::analysis depends
reverse engineer::reverse engineer
exercise r-11.26::exercise r-11.26
exercise r-11.27::exercise r-11.27
productivity::productivity
experts::experts
breakthroughs::breakthroughs
thinking::thinking
nonlinearly::nonlinearly
chapter::chapter
discuss::discuss
important::important
nonlinear::nonlinear
data::data
structures::structures
computing::computing
trees::trees
tree::tree
breakthrough::breakthrough
organization::organization
implement::implement
host::host
algorithms::algorithms
faster::faster
linear::linear
array-based::array-based
lists::lists
linked::linked
provide::provide
natural::natural
ubiquitous::ubiquitous
file::file
systems::systems
graphical::graphical
user::user
interfaces::interfaces
databases::databases
web::web
sites::sites
computer::computer
clear::clear
referring::referring
organizational::organizational
relationship::relationship
richer::richer
simple::simple
relationships::relationships
objects::objects
sequences::sequences
hierarchical::hierarchical
main::main
terminology::terminology
family::family
terms::terms
parent::parent
child::child
ancestor::ancestor
descendant::descendant
common::common
words::words
describe::describe
show::show
figure::figure
general::general
8.1.1::8.1.1
definitions::definitions
properties::properties
abstract::abstract
type::type
stores::stores
elements::elements
hierarchically::hierarchically
exception::exception
top::top
element::element
children::children
visualized::visualized
placing::placing
inside::inside
ovals::ovals
rectangles::rectangles
drawing::drawing
connections::connections
parents::parents
straight::straight
lines::lines
typically::typically
call::call
root::root
drawn::drawn
highest::highest
connected::connected
opposite::opposite
botanical::botanical
africa::africa
europe::europe
asia::asia
australia::australia
canada::canada
america::america
overseas::overseas
domestic::domestic
international::international
tuner::tuner
r&d::r&d
sales::sales
purchasing::purchasing
manufacturing::manufacturing
electronics::electronics
nodes::nodes
representing::representing
fictitious::fictitious
corporation::corporation
store::store
internal::internal
formal::formal
definition::definition
formally::formally
define::define
set::set
storing::storing
parent-child::parent-child
satisfies::satisfies
nonempty::nonempty
special::special
node::node
unique::unique
note::note
empty::empty
meaning::meaning
convention::convention
recursively::recursively
consists::consists
possibly::possibly
subtrees::subtrees
roots::roots
two::two
siblings::siblings
external::external
leaves::leaves
section::section
4.1.4::4.1.4
discussed::discussed
files::files
directories::directories
system::system
emphasize::emphasize
nomenclature::nomenclature
revisit::revisit
earlier::earlier
regular::regular
unix::unix
linux::linux
operating::operating
appropriately::appropriately
directory::directory
represented::represented
symbol::symbol
hw1::hw1
hw2::hw2
hw3::hw3
pr1::pr1
pr2::pr2
pr3::pr3
grades::grades
buylow::buylow
sellhigh::sellhigh
market::market
portion::portion
conversely::conversely
cs252::NNP
subtree::subtree
rooted::rooted
consisting::consisting
descendants::descendants
including::including
cs016::-NONE-
edges::edges
paths::paths
edge::edge
pair::pair
u,v::u,v
vice::vice
versa::versa
path::path
sequence::sequence
consecutive::consecutive
form::form
inheritance::inheritance
relation::relation
classes::classes
python::python
program::program
forms::forms
single::single
provided::provided
summary::summary
hierarchy::hierarchy
types::types
portrayed::portrayed
originally::originally
baseexception::baseexception
class::class
user-defined::user-defined
conventionally::conventionally
declared::declared
specific::specific
introduced::introduced
code::code
fragment::fragment
organized::organized
exists::exists
built-in::built-in
named::named
object::object
ultimate::ultimate
base::base
direct::direct
indirect::indirect
defining::defining
pictured::pictured
complete::complete
preview::preview
remainder::remainder
portrays::portrays
arraybinarytree::arraybinarytree
linkedbinarytree::linkedbinarytree
binarytree::binarytree
linkedtree::linkedtree
modeling::modeling
abstractions::abstractions
implementations::implementations
highlevel::highlevel
sketches::sketches
designed::designed
ordered::ordered
meaningful::meaningful
order::order
purposefully::purposefully
identify::identify
first::first
arranging::arranging
left::left
right::right
components::components
structured::structured
document::document
book::book
parts::parts
chapters::chapters
sections::sections
paragraphs::paragraphs
tables::tables
figures::figures
corresponds::corresponds
fact::fact
expanding::expanding
sentences::sentences
characters::characters
well-defined::well-defined
back::back
examples::examples
described::described
significant::significant
describes::describes
generational::generational
modeled::modeled
birth::birth
contrast::contrast
chart::chart
company::company
considered::considered
unordered::unordered
likewise::likewise
significance::significance
subclasses::subclasses
finally::finally
displays::displays
entries::entries
e.g::e.g
alphabetical::alphabetical
chronological::chronological
inherent::inherent
representation::representation
8.1.2::8.1.2
positional::positional
adt::adt
concept::concept
position::position
abstraction::abstraction
stored::stored
positions::positions
satisfy::satisfy
structure::structure
supports::supports
method::method
p.element::p.element
return::return
accessor::accessor
methods::methods
allowing::allowing
navigate::navigate
t.root::t.root
t.is::t.is
true::true
t.parent::t.parent
t.num::t.num
number::number
t.children::t.children
generate::generate
iteration::iteration
leaf::leaf
len::len
contained::contained
t.positions::t.positions
iter::iter
accepts::accepts
argument::argument
valueerror::valueerror
invalid::invalid
reports::reports
generates::generates
similar::similar
regard::regard
iterations::iterations
means::means
iterating::iterating
creating::creating
modifying::modifying
point::point
prefer::prefer
update::update
conjunction::conjunction
interface::interface
applications::applications
discussing::discussing
object-oriented::object-oriented
design::design
principle::principle
2.1.2::2.1.2
noted::noted
public::public
managed::managed
duck::duck
typing::typing
defined::defined
notion::notion
queue::queue
presented::presented
arrayqueue::arrayqueue
6.2.2::6.2.2
linkedqueue::linkedqueue
7.1.2::7.1.2
circularqueue::circularqueue
7.2.2::7.2.2
gave::gave
concrete::concrete
self-contained::self-contained
happen::happen
adhere::adhere
mechanism::mechanism
designate::designate
serves::serves
2.4.3::2.4.3
choose::choose
reason::reason
doing::doing
bit::bit
level::level
greater::greater
reuse::reuse
nested::nested
declarations::declarations
included::included
remain::remain
num::num
raises::raises
notimplementederror::notimplementederror
approach::approach
abc::abc
module::module
responsible::responsible
overriding::overriding
working::working
implementation::implementation
behavior::behavior
based::based
chosen::chosen
includes::includes
rely::rely
calls::calls
previous::previous
declare::declare
ten::ten
implemented::implemented
explore::explore
traversing::traversing
beauty::beauty
inherited::inherited
promotes::promotes
reimplement::reimplement
behaviors::behaviors
create::create
instance::instance
serve::serve
users::users
instances::instances
8.1.3::8.1.3
depth::depth
height::height
ancestors::ancestors
excluding::excluding
implies::implies
present::present
recursive::recursive
algorithm::algorithm
adds::adds
value::value
returned::returned
def::def
levels::levels
separating::separating
self.is::self.is
self.depth::self.depth
self.parent::self.parent
running::running
t.depth::t.depth
denotes::denotes
performs::performs
constant-time::constant-time
step::step
runs::runs
worstcase::worstcase
total::total
branch::branch
function::function
input::input
size::size
informative::informative
characterize::characterize
parameter::parameter
smaller::smaller
maximum::maximum
heights::heights
addition::addition
viewed::viewed
proposition::proposition
equal::equal
depths::depths
leave::leave
justification::justification
exercise::exercise
r-8.3::r-8.3
height1::height1
nonpublic::nonpublic
computes::computes
efficient::efficient
run::run
worst::worst
case::case
sum::sum
proportional::proportional
c-8.33::c-8.33
worst-case::worst-case
compute::compute
efficiently::efficiently
relying::relying
original::original
parameterize::parameterize
calculate::calculate
understand::understand
height2::height2
progresses::progresses
top-down::top-down
fashion::fashion
initially::initially
eventually::eventually
invokes::invokes
recursion::recursion
turn::turn
determine::determine
summing::summing
amount::amount
spent::spent
nonrecursive::nonrecursive
part::part
review::review
analyses::analyses
processes::processes
constant::constant
work::work
overhead::overhead
assume::assume
generated::generated
spends::spends
analysis::analysis
make::make
property::property
denote::denote
contributes::contributes
unit::unit
revisiting::revisiting
ability::ability
beneficial::beneficial
expect::expect
entire::entire
explicitly::explicitly
designating::designating
wrap::wrap
default::default
interpretation::interpretation
invoked::invoked
syntax::syntax
t.height::t.height
binary::binary
labeled::labeled
precedes::precedes
proper::proper
people::people
full::full
improper::improper
arises::arises
contexts::contexts
represent::represent
outcomes::outcomes
result::result
answering::answering
series::series
yes-or-no::yes-or-no
questions::questions
question::question
starting::starting
current::current
depending::depending
answer::answer
decision::decision
follow::follow
tracing::tracing
represents::represents
answered::answered
leads::leads
illustrates::illustrates
recommendations::recommendations
prospective::prospective
investor::investor
arithmetic::arithmetic
expression::expression
treewhose::treewhose
variables::variables
constants::constants
operators::operators
variable::variable
applying::applying
operation::operation
values::values
operator::operator
takes::takes
operands::operands
unary::unary
negation::negation
incidentally::incidentally
8.2.1::8.2.1
specialization::specialization
additional::additional
t.left::t.left
t.right::t.right
t.sibling::t.sibling
sibling::sibling
specialized::specialized
existing::existing
remains::remains
specifications::specifications
internally::internally
functionality::functionality
inherits::inherits
supported::supported
derived::derived
combination::combination
derive::derive
generator::generator
implied::implied
8.2.2::8.2.2
interesting::interesting
dealing::dealing
four::four
grows::grows
exponentially::exponentially
observation::observation
relating::relating
detailed::detailed
r-8.8::r-8.8
justify::justify
removing::removing
dividing::dividing
piles::piles
internal-node::internal-node
pile::pile
external-node::external-node
end::end
cases::cases
remove::remove
place::place
arbitrary::arbitrary
reconnect::reconnect
shown::shown
removes::removes
repeating::repeating
final::final
removed::removed
respective::respective
operations::operations
leading::leading
hold::hold
nonbinary::nonbinary
exercises::exercises
c-8.32::c-8.32
c-8.34::c-8.34
implementing::implementing
great::great
deal::deal
support::support
directly::directly
instantiated::instantiated
key::key
details::details
effectively::effectively
specifically::specifically
accessors::accessors
choices::choices
representations::representations
begin::begin
shape::shape
narrowly::narrowly
8.3.1::8.3.1
realize::realize
8.11a::8.11a
maintains::maintains
references::references
field::field
reference::reference
8.11b::8.11b
implements::implements
subclassing::subclassing
developing::developing
positionallist::positionallist
wraps::wraps
validate::validate
utility::utility
robustly::robustly
checking::checking
validity::validity
unwrapping::unwrapping
wrapping::wrapping
caller::caller
formality::formality
inherit::inherit
immediately::immediately
binarytree.position::binarytree.position
technically::technically
trivially::trivially
tree.position::tree.position
minor::minor
benefit::benefit
relative::relative
continues::continues
constructor::constructor
creates::creates
initializing::initializing
careful::careful
utilities::utilities
safeguard::safeguard
boundary::boundary
updating::updating
examining::examining
results::results
changing::changing
content::content
chose::chose
reasons::reasons
encapsulation::encapsulation
suggests::suggests
outward::outward
depend::depend
efficiency::efficiency
depends::depends
greatly::greatly
offer::offer
suitable::suitable
options::options
application::application
unacceptable::unacceptable
possibility::possibility
t.replace::t.replace
replaces::replaces
context::context
page::page
study::study
enforce::enforce
reasonable::reasonable
usage::usage
t.add::t.add
error::error
occurs::occurs
link::link
resulting::resulting
replace::replace
previously::previously
t.delete::t.delete
replacing::replacing
t.attach::t.attach
attach::attach
reset::reset
condition::condition
collection::collection
complex::complex
delete::delete
due::due
involving::involving
conditions::conditions
perform::perform
simplified::simplified
sentinel::sentinel
akin::akin
treatment::treatment
c-8.40::c-8.40
avoid::avoid
problem::problem
undesirable::undesirable
publicly::publicly
versions::versions
providing::providing
underscored::underscored
lieu::lieu
fragments::fragments
invoke::invoke
preserving::preserving
subclass::subclass
expose::expose
r-8.15::r-8.15
task::task
mutablelinkedbinarytree::mutablelinkedbinarytree
performance::performance
summarize::summarize
efficiencies::efficiencies
analyze::analyze
times::times
relies::relies
equivalence::equivalence
testing::testing
verifies::verifies
analyzed::analyzed
add::add
involve::involve
relinking::relinking
table::table
summarizes::summarizes
n-node::n-node
space::space
8.3.2::8.3.2
alternative::alternative
numbering::numbering
integer::integer
numbers::numbers
increasing::increasing
potential::potential
actual::actual
necessarily::necessarily
list::list
index::index
array::array
advantage::advantage
position-based::position-based
formula::formula
r-8.18::r-8.18
requires::requires
length::length
range::range
cells::cells
r-8.16::r-8.16
heaps::heaps
spite::spite
exponential::exponential
requirement::requirement
prohibitive::prohibitive
drawback::drawback
deleting::deleting
promoting::promoting
moves::moves
locations::locations
8.3.3::8.3.3
fields::fields
individual::individual
priori::priori
limit::limit
container::container
.figure::.figure
larger::larger
r-8.14::r-8.14
simply::simply
traversal::traversal
systematic::systematic
accessing::accessing
visiting::visiting
action::action
visit::visit
incrementing::incrementing
counter::counter
performing::performing
computation::computation
schemes::schemes
traversals::traversals
8.4.1::8.4.1
preorder::preorder
postorder::postorder
visited::visited
traversed::traversed
pseudo-code::pseudo-code
traverse::traverse
sample::sample
paper::paper
title::title
sense::sense
traverses::traverses
visits::visits
running-time::running-time
ways::ways
access::access
assumption::assumption
asymptotically::asymptotically
optimal::optimal
8.4.2::8.4.2
breadth-first::breadth-first
software::software
playing::playing
games::games
game::game
made::made
player::player
initial::initial
configuration::configuration
partial::partial
tic-tac-toe::tic-tac-toe
annotations::annotations
displaying::displaying
performed::performed
unable::unable
limited::limited
responses::responses
deep::deep
computational::computational
process::process
produce::produce
fifo::fifo
i.e::i.e
first-in::first-in
first-out::first-out
semantics::semantics
enqueue::enqueue
dequeue::dequeue
breadthfirst::breadthfirst
initialize::initialize
q.dequeue::q.dequeue
oldest::oldest
entry::entry
q.enqueue::q.enqueue
8.4.3::8.4.3
inorder::inorder
standard::standard
applied::applied
introduce::introduce
informally::informally
consistent::consistent
albeit::albeit
parentheses::parentheses
search::search
integers::integers
denoted::denoted
assure::assure
nondecreasing::nondecreasing
solid::solid
searching::searching
successfully::successfully
dashed::dashed
unsuccessfully::unsuccessfully
find::find
encountered::encountered
compare::compare
terminates::terminates
reach::reach
recall::recall
asked::asked
searched::searched
illustrate::illustrate
small::small
log::log
large::large
devoted::devoted
8.4.4::8.4.4
stated::stated
include::include
report::report
demonstrate::demonstrate
easy::easy
presumed::presumed
producing::producing
self.positions::self.positions
yield::yield
body::body
choice::choice
advantages::advantages
orders::orders
independent::independent
strategy::strategy
adapt::adapt
calling::calling
signature::signature
t.preorder::t.preorder
generating::generating
parameterized::parameterized
solution::solution
circumstance::circumstance
desired::desired
parameterization::parameterization
self.root::self.root
start::start
self.children::self.children
yielding::yielding
generators::generators
decide::decide
traditional::traditional
functions::functions
slightly::slightly
loop::loop
yielded::yielded
reyield::reyield
outer::outer
trivial::trivial
technique::technique
re-yield::re-yield
write::write
official::official
self.preorder::self.preorder
difference::difference
wait::wait
manage::manage
suffice::suffice
applicable::applicable
dependent::dependent
develop::develop
applies::applies
fringe::fringe
fringe.enqueue::fringe.enqueue
fringe.is::fringe.is
fringe.dequeue::fringe.dequeue
front::front
self.left::self.left
self.right::self.right
override::override
version::version
self.inorder::self.inorder
reported::reported
8.4.5::8.4.5
representative::representative
customizations::customizations
contents::contents
naturally::naturally
displayed::displayed
presentation::presentation
line::line
shows::shows
attractive::attractive
produced::produced
indenting::indenting
display::display
indentation::indentation
unindented::unindented
print::print
indent::indent
spaces::spaces
statement::statement
str::str
unnecessarily::unnecessarily
inefficient::inefficient
incur::incur
hidden::hidden
cost::cost
making::making
analyzing::analyzing
preferred::preferred
indented::indented
redesign::redesign
strings::strings
lengths::lengths
printing::printing
started::started
fortunate::fortunate
embedded::embedded
generally::generally
interested::interested
explicit::explicit
beginning::beginning
2.2.1::2.2.1
2.2.2::2.2.2
challenging::challenging
labels::labels
implicit::implicit
label::label
accomplish::accomplish
zero-indexed::zero-indexed
downward::downward
convert::convert
oneindexed::oneindexed
inefficiency::inefficiency
duplicating::duplicating
sending::sending
share::share
temporarily::temporarily
added::added
trace::trace
block::block
extraneous::extraneous
completing::completing
.join::.join
one-indexed::one-indexed
path.append::path.append
path.pop::path.pop
parenthetic::parenthetic
reconstruct::reconstruct
numbered::numbered
human-friendly::human-friendly
concise::concise
string::string
computer-friendly::computer-friendly
t1,t2::t1,t2
,tk::,tk
concatenation::concatenation
breaks::breaks
cosmetic::cosmetic
essentially::essentially
easily::easily
punctuation::punctuation
opening::opening
parenthesis::parenthesis
closing::closing
commas::commas
parenthesize::parenthesize
custom::custom
prints::prints
parenthesized::parenthesized
avoids::avoids
trailing::trailing
newline::newline
sep::sep
separator::separator
false::false
future::future
passes::passes
recur::recur
disk::disk
model::model
file-system::file-system
introducing::introducing
examined::examined
topic::topic
emblematic::emblematic
purpose::purpose
discern::discern
allocated::allocated
information::information
subtotal::subtotal
.space::.space
local::local
8.4.6::8.4.6
euler::euler
tours::tours
template::template
pattern::pattern
power::power
capture::capture
computations::computations
desire::desire
blending::blending
approaches::approaches
recurring::recurring
recursions::recursions
